Sheet,Cell,Formula
Dashboard,C5,"=COUNTIF(tblProducts[Active],TRUE)"
Dashboard,C6,"=COUNTIF(tblContainers[Status],""Available"")-COUNTIFS(tblContainers[Status],""Available"",tblContainers[ExpiryDate],""<""&TODAY())"
Dashboard,C7,"=COUNTIF(tblContainers[Status],""InUse"")"
Dashboard,C8,"=COUNTIF(tblContainers[ExpiryDate],""<""&TODAY())"
Dashboard,C9,"=COUNTIFS(tblContainers[Status],""Available"",tblContainers[ExpiryDate],"">=""&TODAY(),tblContainers[ExpiryDate],""<=""&TODAY()+ExpiryWarningDays30)"
Dashboard,C10,"=COUNTIFS(tblContainers[Status],""Available"",tblContainers[ExpiryDate],"">""&TODAY()+ExpiryWarningDays30,tblContainers[ExpiryDate],""<=""&TODAY()+ExpiryWarningDays60)"
Dashboard,C11,"=COUNTIFS(tblContainers[Status],""Available"",tblContainers[ExpiryDate],"">""&TODAY()+ExpiryWarningDays60,tblContainers[ExpiryDate],""<=""&TODAY()+ExpiryWarningDays90)"
Dashboard,C12,"=COUNTIFS(tblProducts[Active],TRUE,tblProducts[HelperAvailableStock],0)"
Dashboard,C13,"=COUNTIFS(tblProducts[Active],TRUE,tblProducts[HelperStockClass],""Reorder"")"
Dashboard,C14,"=COUNTIFS(tblProducts[Active],TRUE,tblProducts[HelperStockClass],""Low"")"
Dashboard,C15,"=COUNTIFS(tblTransactions[TransactionType],""Receive"",tblTransactions[Timestamp],"">=""&TODAY()-14)"
Dashboard,C16,"=COUNTIFS(tblTransactions[TransactionType],""TakeOpen"",tblTransactions[Timestamp],"">=""&TODAY()-14)"
Dashboard,C17,"=COUNTIF(tblTransactions[TransactionType],""TakeOpen"")"
Dashboard,B22,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[ProductName],1))"
Dashboard,C22,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[HelperAvailableStock],1))"
Dashboard,D22,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[MinimumContainerStock],1))"
Dashboard,E22,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[TargetContainerStock],1))"
Dashboard,F22,"=IF(INDEX(tblProducts[ProductID],1)="""","""",INDEX(tblProducts[HelperStockClass],1))"
Dashboard,B23,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[ProductName],2))"
Dashboard,C23,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[HelperAvailableStock],2))"
Dashboard,D23,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[MinimumContainerStock],2))"
Dashboard,E23,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[TargetContainerStock],2))"
Dashboard,F23,"=IF(INDEX(tblProducts[ProductID],2)="""","""",INDEX(tblProducts[HelperStockClass],2))"
Dashboard,B24,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[ProductName],3))"
Dashboard,C24,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[HelperAvailableStock],3))"
Dashboard,D24,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[MinimumContainerStock],3))"
Dashboard,E24,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[TargetContainerStock],3))"
Dashboard,F24,"=IF(INDEX(tblProducts[ProductID],3)="""","""",INDEX(tblProducts[HelperStockClass],3))"
Dashboard,B25,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[ProductName],4))"
Dashboard,C25,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[HelperAvailableStock],4))"
Dashboard,D25,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[MinimumContainerStock],4))"
Dashboard,E25,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[TargetContainerStock],4))"
Dashboard,F25,"=IF(INDEX(tblProducts[ProductID],4)="""","""",INDEX(tblProducts[HelperStockClass],4))"
Dashboard,B26,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[ProductName],5))"
Dashboard,C26,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[HelperAvailableStock],5))"
Dashboard,D26,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[MinimumContainerStock],5))"
Dashboard,E26,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[TargetContainerStock],5))"
Dashboard,F26,"=IF(INDEX(tblProducts[ProductID],5)="""","""",INDEX(tblProducts[HelperStockClass],5))"
