Container ID,Barcode,Product ID,Batch / Lot Number,Expiry Date,Retest Date,Date Received,Storage Location ID,Status,Opened Date,Disposal Date,Disposal Reason,Notes,Helper Container Num,Helper Barcode Num
C000001,0000001,P000001,LOT0001,,,2026-01-10T00:00:00,LOC0004,Available,,,,Tips box 1,"=VALUE(SUBSTITUTE(A5,""C"",""""))",=VALUE(B5)
C000002,0000002,P000001,LOT0001,,,2026-01-10T00:00:00,LOC0004,Available,,,,Tips box 2,"=VALUE(SUBSTITUTE(A6,""C"",""""))",=VALUE(B6)
C000003,0000003,P000001,LOT0002,,,2026-03-05T00:00:00,LOC0004,Available,2026-03-06T00:00:00,,,"Tips box 3 (opened, returned)","=VALUE(SUBSTITUTE(A7,""C"",""""))",=VALUE(B7)
C000004,0000004,P000002,LOT0010,,,2026-02-20T00:00:00,LOC0004,Available,,,,Tubes box 1,"=VALUE(SUBSTITUTE(A8,""C"",""""))",=VALUE(B8)
C000005,0000005,P000002,LOT0010,,,2026-02-20T00:00:00,LOC0004,Available,,,,Tubes box 2,"=VALUE(SUBSTITUTE(A9,""C"",""""))",=VALUE(B9)
C000006,0000006,P000002,LOT0011,,,2026-05-11T00:00:00,LOC0005,InUse,2026-05-12T00:00:00,,,Tubes box 3 in use,"=VALUE(SUBSTITUTE(A10,""C"",""""))",=VALUE(B10)
C000007,0000007,P000003,LOT0020,2027-04-15T00:00:00,,2025-11-01T00:00:00,LOC0001,Available,,,,Ethanol bottle A,"=VALUE(SUBSTITUTE(A11,""C"",""""))",=VALUE(B11)
C000008,0000008,P000003,LOT0020,2027-04-15T00:00:00,,2025-11-01T00:00:00,LOC0001,Available,,,,Ethanol bottle B,"=VALUE(SUBSTITUTE(A12,""C"",""""))",=VALUE(B12)
C000009,0000009,P000003,LOT0021,2026-10-31T00:00:00,,2026-06-20T00:00:00,LOC0001,Available,2026-07-01T00:00:00,,,"Ethanol bottle C (opened, returned)","=VALUE(SUBSTITUTE(A13,""C"",""""))",=VALUE(B13)
C000010,0000010,P000004,LOT0030,2026-12-31T00:00:00,,2026-04-18T00:00:00,LOC0001,Available,,,,Methanol bottle A,"=VALUE(SUBSTITUTE(A14,""C"",""""))",=VALUE(B14)
C000011,0000011,P000004,LOT0030,2026-12-31T00:00:00,,2026-04-18T00:00:00,LOC0002,InUse,2026-06-10T00:00:00,,,Methanol bottle B in use,"=VALUE(SUBSTITUTE(A15,""C"",""""))",=VALUE(B15)
C000012,0000012,P000005,LOT0040,2026-08-20T00:00:00,2026-08-01T00:00:00,2026-05-01T00:00:00,LOC0003,Available,,,,"Tris reagent (expiring soon, band 30)","=VALUE(SUBSTITUTE(A16,""C"",""""))",=VALUE(B16)
C000013,0000013,P000005,LOT0041,2026-09-05T00:00:00,,2026-05-15T00:00:00,LOC0003,Available,,,,Tris reagent (band 60),"=VALUE(SUBSTITUTE(A17,""C"",""""))",=VALUE(B17)
C000014,0000014,P000005,LOT0042,2026-07-01T00:00:00,,2026-01-20T00:00:00,LOC0003,Expired,,2026-07-02T00:00:00,Expired,Tris reagent expired,"=VALUE(SUBSTITUTE(A18,""C"",""""))",=VALUE(B18)
C000015,0000015,P000006,LOT0050,,,2026-04-01T00:00:00,LOC0004,Available,,,,Gloves box 1,"=VALUE(SUBSTITUTE(A19,""C"",""""))",=VALUE(B19)
C000016,0000016,P000006,LOT0050,,,2026-04-01T00:00:00,LOC0004,Available,,,,Gloves box 2,"=VALUE(SUBSTITUTE(A20,""C"",""""))",=VALUE(B20)
C000017,0000017,P000006,LOT0051,,,2026-07-10T00:00:00,LOC0004,Disposed,,2026-07-11T00:00:00,Used Up,Gloves box 3 disposed,"=VALUE(SUBSTITUTE(A21,""C"",""""))",=VALUE(B21)
C000018,0000018,P000003,LOT0022,2027-06-30T00:00:00,,2026-08-10T00:00:00,LOC0001,Available,,,,Ethanol bottle D,"=VALUE(SUBSTITUTE(A22,""C"",""""))",=VALUE(B22)
C000019,0000019,P000002,LOT0012,,,2026-08-12T00:00:00,LOC0004,Available,,,,"Tubes box 4 (Available, no expiry)","=VALUE(SUBSTITUTE(A23,""C"",""""))",=VALUE(B23)
C000020,0000020,P000001,LOT0003,,,2026-08-15T00:00:00,LOC0004,Missing,,,Missing,Tips box 4 missing,"=VALUE(SUBSTITUTE(A24,""C"",""""))",=VALUE(B24)
C000021,0000021,P000005,LOT0043,2026-08-10T00:00:00,,2026-07-15T00:00:00,LOC0003,Available,,,,Tris reagent expired-by-date but NOT yet MarkExpired (D-018 boundary),"=VALUE(SUBSTITUTE(A25,""C"",""""))",=VALUE(B25)
